Joint,Source,AxialChordSaddle,AxialChordCrown,AxialChordSide,AxialBraceSaddle,AxialBraceCrown,AxialBraceSide,OPBChordSaddle,OPBChordSide,OPBBraceSaddle,OPBBraceSide,IPBChordCrown,IPBChordSide,IPBBraceCrown,IPBBraceSide
T24/2,FEA/2,3.4,1.6,3.4,6.2,3.7,6.2,1.9,1.9,3.1,3.1,1.1,1.1,2.5,2.5
T24/3,Experiment,NaN,NaN,NaN,NaN,NaN,NaN,1.7,1.7,1.8,1.8,NaN,NaN,NaN,NaN
T24/3,Efthymiou,3.1,1.7,NaN,5,3,NaN,1.7,NaN,2.6,NaN,1.1,NaN,2.1,NaN
T24/3,FEA,3.1,1.6,3.1,4.8,2.7,4.8,1.8,1.8,2.5,2.5,1.1,1.1,2,2
T24/3,FEA/2,3.4,1.6,3.4,6.2,3.7,6.2,1.9,1.9,3.1,3.1,1.1,1.1,2.5,2.5
T39,Experiment,4.2,2.4,4.2,3,0.8,4.4,NaN,NaN,NaN,NaN,0.8,1,1.3,1.5
T39,Efthymiou,4.6,2.3,NaN,5.5,3,NaN,2.4,NaN,3,NaN,1.5,NaN,2.2,NaN
T39,FEA,5.7,1.8,5.7,5.7,2.6,5.7,2.3,2.3,2.8,2.8,1.3,1.4,2.1,2.1
T39,FEA/2,4.9,2.2,4.9,7.8,4,7.8,2.6,2.6,3.7,3.7,1.6,1.6,2.7,2.7
T40,Experiment,NaN,NaN,NaN,4.2,1.9,4.4,NaN,NaN,NaN,NaN,NaN,NaN,1.9,1.9
T40,Efthymiou,3.1,1.6,NaN,4.8,3,NaN,1.7,NaN,2.6,NaN,1.1,NaN,2.1,NaN
T40,FEA,3.1,1.5,3.1,4.7,2.7,4.7,1.8,1.8,2.5,2.5,1,1.1,2,2
T40,FEA/2,3.3,1.6,3.3,6,3.7,6,1.9,1.9,3.1,3.1,1.1,1.1,2.5,2.5
T41,Experiment,12,6.2,12,7.6,1.2,7.6,NaN,NaN,NaN,NaN,4.2,4.9,1.9,2.6
T41,Efthymiou,11.6,3.8,NaN,6.5,2,NaN,10.1,NaN,6.7,NaN,4.2,NaN,3.1,NaN
T41,FEA,11.4,4.5,11.4,9.2,2.6,9.2,9.3,9.3,7.7,7.7,3.8,3.9,2.9,3.2
T41,FEA/2,10.7,4.3,10.8,9,2.5,9,8.8,8.8,7.6,7.6,3.6,3.7,2.8,3.2
T42,Experiment,3.3,1.8,3.3,4.6,2.1,4.6,NaN,NaN,NaN,NaN,1.3,1.3,2.3,2.3
T42,Efthymiou,2.9,1.1,NaN,3.8,2.3,NaN,2.8,NaN,3.7,NaN,1.4,NaN,2.3,NaN
T42,FEA,2.6,1.3,2.6,3.8,2.2,3.8,2.7,2.7,3.9,3.9,1.2,1.2,2.2,2.2
T42,FEA/2,2.6,1.3,2.7,4.2,2.3,4.2,2.8,2.8,4.3,4.3,1.2,1.2,2.3,2.3
T43,Experiment,4.8,2.9,4.8,3.7,0.8,3.7,NaN,NaN,NaN,NaN,1.5,1.5,1.6,1.6
T43,Efthymiou,4.6,2.6,NaN,4.7,3,NaN,2.7,NaN,3.1,NaN,1.7,NaN,2.3,NaN
T43,FEA,4.1,1.9,4.1,5.2,2.6,5.2,2.4,2.4,2.7,2.7,1.5,1.4,2.1,1.5
T43,FEA/2,4.9,2.5,4.9,7.3,4,7.3,2.8,2.8,3.7,3.7,1.8,1.8,2.8,2.8
T44,Experiment,2.6,1.7,2.6,3.6,1.8,3.7,NaN,NaN,NaN,NaN,1,1,1.9,2
T44,Efthymiou,2.3,1.4,NaN,3.7,3,NaN,1.4,NaN,2.3,NaN,1,NaN,2,NaN
T44,FEA,2.3,1.3,2.3,3.9,2.6,3.9,1.5,1.5,2.3,2.3,1,1,2,2
T44,FEA/2,2.5,1.4,2.5,4.9,3.4,4.9,1.6,1.6,2.9,2.9,1,1,2.4,2.4
T703-1,Experiment,NaN,NaN,NaN,NaN,NaN,NaN,8,8,NaN,NaN,NaN,NaN,NaN,NaN
T703-1,Efthymiou,12.6,4.5,NaN,8.8,2.6,NaN,9.4,NaN,6.7,NaN,3.6,NaN,2.9,NaN
T703-1,FEA,9,3.4,9,10.4,1.7,10.4,6.3,6.3,7.1,7.1,2.4,2.6,2.4,2.7
T703-1,FEA/2,11.7,4,11.7,11.9,2.1,11.9,8.3,8.3,8.1,8.1,3,3.1,2.8,3.1
T703-2,Experiment,NaN,NaN,NaN,NaN,NaN,NaN,7.7,7.7,NaN,NaN,NaN,NaN,NaN,NaN
T703-2,Efthymiou,12.6,4.5,NaN,8.8,2.6,NaN,9.4,NaN,6.7,NaN,3.6,NaN,2.9,NaN
T703-2,FEA,9,3.4,9,10.4,1.7,10.4,6.3,6.3,7.1,7.1,2.4,2.6,2.4,2.7
T703-2,FEA/2,11.7,4,11.7,11.9,2.1,11.9,8.3,8.3,8.1,8.1,3,3.1,2.8,3.1
T703-3,Experiment,NaN,NaN,NaN,NaN,NaN,NaN,8.4,8.4,NaN,NaN,NaN,NaN,NaN,NaN
T703-3,Efthymiou,12.6,4.5,NaN,8.8,2.6,NaN,9.4,NaN,6.7,NaN,3.6,NaN,2.9,NaN
T703-3,FEA,9,3.4,9,10.4,1.7,10.4,6.3,6.3,7.1,7.1,2.4,2.6,2.4,2.7
T703-3,FEA/2,11.7,4,11.7,11.9,2.1,11.9,8.3,8.3,8.1,8.1,3,3.1,2.8,3.1
T704-1,Experiment,NaN,NaN,NaN,NaN,NaN,NaN,5.4,5.4,NaN,NaN,NaN,NaN,NaN,NaN
T704-1,Efthymiou,7.1,2.7,NaN,7,2.5,NaN,5.6,NaN,5.3,NaN,2.3,NaN,2.5,NaN
T704-1,FEA,5.4,2.2,5.4,7.4,2,7.4,4.2,4.2,5.5,5.5,1.7,1.7,2.2,2.3
T704-1,FEA/2,6.7,2.5,6.7,9.1,2.7,9.1,5.3,5.3,6.7,6.7,1.9,2,2.8,2.8
T704-2,Experiment,NaN,NaN,NaN,NaN,NaN,NaN,5,5,NaN,NaN,NaN,NaN,NaN,NaN
T704-2,Efthymiou,7.1,2.7,NaN,7,2.5,NaN,5.6,NaN,5.3,NaN,2.3,NaN,2.5,NaN
T704-2,FEA,5.4,2.2,5.4,7.4,2,7.4,4.2,4.2,5.5,5.5,1.7,1.7,2.2,2.3
T704-2,FEA/2,6.7,2.5,6.7,9.1,2.7,9.1,5.3,5.3,6.7,6.7,1.9,2,2.8,2.8
T704-3,Experiment,NaN,NaN,NaN,NaN,NaN,NaN,5.4,5.4,NaN,NaN,NaN,NaN,NaN,NaN
T704-3,Efthymiou,7.1,2.7,NaN,7,2.5,NaN,5.6,NaN,5.3,NaN,2.3,NaN,2.5,NaN
T704-3,FEA,5.4,2.2,5.4,7.4,2,7.4,4.2,4.2,5.5,5.5,1.7,1.7,2.2,2.3
T704-3,FEA/2,6.7,2.5,6.7,9.1,2.7,9.1,5.3,5.3,6.7,6.7,1.9,2,2.8,2.8
TG1,Experiment,5.9,3.3,5.9,6.3,1.9,6.3,4.9,4.9,5.4,5.4,1.8,1.8,2,2
TG1,Efthymiou,6.5,2.5,NaN,6.4,2.5,NaN,4.9,NaN,4.7,NaN,2.1,NaN,2.4,NaN
TG1,FEA,4.9,2.2,4.9,6.6,2.1,6.6,3.9,3.9,4.6,4.6,1.7,1.7,2.2,2.2
TG1,FEA/2,6,2.3,6.1,8.4,2.8,8.4,4.6,4.6,5.9,5.9,1.9,1.9,2.8,2.8
